room_id,survey_id,host_id,room_type,country,city,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,bathrooms,price,minstay,name,last_modified,latitude,longitude,location
1471308,1429,7673571,Private room,,Boston,,Mission Hill,94,4,2,1,,70,,Cozy Private Room Near Transit,31:42.2,42.333935,-71.103135,0101000020E6100000AB048BC399C651C0B0FECF61BE2A4540
12854553,1429,8907338,Private room,,Boston,,Fenway,0,0,2,1,,75,,Private room in a 1 BR,31:42.2,42.348233,-71.094547,0101000020E6100000D63BDC0E0DC651C0A93121E6922C4540
13658697,1429,53178913,Private room,,Boston,,Mission Hill,0,0,2,1,,80,,"Boston Cozy, safe private room in Longwood area",31:39.5,42.333542,-71.100217,0101000020E6100000356090F469C651C0D5EB1681B12A4540
8301926,1429,43772222,Private room,,Boston,,South End,19,5,2,1,,75,,"Gorgeous South End Apt, in the heart of Boston!",31:37.8,42.343842,-71.070075,0101000020E61000001A51DA1B7CC451C0E17EC003032C4540
18979061,1429,99529964,Private room,,Boston,,Mission Hill,5,5,2,0,,75,,Stylish room in the heart of Longwood Medical Area,31:37.8,42.333523,-71.102883,0101000020E61000001F1494A295C651C05EBBB4E1B02A4540
13031523,1429,72014205,Private room,,Boston,,Brighton,5,4.5,2,1,,67,,Comfortable furnished room w/Queen bed +amenities.,31:25.6,42.361135,-71.140114,0101000020E61000008DEDB5A0F7C851C07138F3AB392E4540
18475428,1429,28356508,Private room,,Boston,,Beacon Hill,2,0,2,1,,80,,Charles St Room & Roof Deck,30:42.3,42.359389,-71.071059,0101000020E610000089450C3B8CC451C065C57075002E4540
19592902,1429,53651993,Private room,,Boston,,Brighton,0,0,3,1,,69,,Spacious Private Room,28:38.5,42.339211,-71.152979,0101000020E6100000637E6E68CAC951C0C3B81B446B2B4540
18760070,1429,63221716,Private room,,Boston,,Allston,6,4.5,2,1,,75,,Beautiful private room Boston/Allston,28:38.5,42.348599,-71.132449,0101000020E6100000D3D85E0B7AC851C08B355CE49E2C4540
18516712,1429,49741901,Private room,,Boston,,Allston,3,4.5,2,1,,70,,Modern and Private Bedroom #2 near BU/BC/Harvard,28:37.7,42.347046,-71.134677,0101000020E61000007FA1478C9EC851C0931ADA006C2C4540
8417742,1429,26956083,Private room,,Boston,,Brighton,31,5,2,1,,68,,Cloud 9 near Harvard Square,28:36.0,42.361026,-71.141724,0101000020E6100000BB438A0112C951C0BB809719362E4540
3901439,1429,8139434,Private room,,Boston,,Allston,70,4.5,2,1,,72,,h Spacious room Allston/Brighton,28:34.0,42.349892,-71.142566,0101000020E610000061E124CD1FC951C0E690D442C92C4540
19550846,1429,17922220,Private room,,Boston,,Brighton,0,0,1,1,,70,,"Your cozy, sunny retreat- just steps from T!",28:34.0,42.348808,-71.140811,0101000020E6100000B1FA230C03C951C0A54A94BDA52C4540
18898296,1429,101057334,Private room,,Boston,,Roxbury,2,0,2,1,,75,,A Room for 2 in Roxbury,28:34.0,42.329468,-71.093411,0101000020E61000008C852172FAC551C00D8AE6012C2A4540
15499116,1429,8139434,Private room,,Boston,,Allston,5,4.5,2,1,,72,,"p Quiet, Close to T Allston/Brighton",28:34.0,42.351972,-71.142128,0101000020E610000023F609A018C951C0CA8D226B0D2D4540
19019477,1429,65530872,Private room,,Boston,,Fenway,0,0,1,1,,80,,Sweet place for girls or couples,28:32.0,42.342757,-71.088899,0101000020E61000006A696E85B0C551C0CFBC1C76DF2B4540
