"","room_id","host_id","room_type","neighborhood","reviews","overall_satisfaction","accommodates","bedrooms","price","latitude","longitude"
"26990",19529753,1103382,"Entire home/apt","West End",0,0,2,1,200,42.365257,"-71.068465"
"26991",13188046,21094197,"Entire home/apt","South Boston",12,5,3,1,189,42.332247,"-71.038656"
"26992",18726639,105851798,"Entire home/apt","Dorchester",2,0,8,4,198,42.308237,"-71.065708"
"26993",16453322,34343733,"Entire home/apt","South Boston",12,5,2,1,200,42.33622,"-71.040897"
"26994",17529340,89406568,"Entire home/apt","South End",20,5,2,1,195,42.346203,"-71.073441"
"26995",12287958,32532791,"Entire home/apt","South End",4,5,2,0,195,42.343821,"-71.075369"
"26996",15461993,99209255,"Entire home/apt","South Boston",18,5,2,1,195,42.337333,"-71.039377"
"26997",16943329,13094044,"Entire home/apt","South Boston",13,5,2,1,189,42.336659,"-71.047364"
"26998",2174711,5618949,"Entire home/apt","Longwood Medical Area",127,4.5,4,0,191,42.339383,"-71.100172"
"26999",18332030,37476905,"Entire home/apt","Beacon Hill",0,0,4,1,188,42.359601,"-71.06412"
"27000",322593,1651480,"Entire home/apt","South End",251,5,2,1,197,42.343488,"-71.076802"
"27001",8934599,26956083,"Entire home/apt","Brighton",16,5,6,3,149,42.359296,"-71.140197"
"27002",19182691,126357446,"Entire home/apt","Allston",0,0,6,2,179,42.348984,"-71.138773"
"27003",831744,1944123,"Entire home/apt","Allston",38,5,3,1,175,42.352832,"-71.132956"
"27004",14614422,56660616,"Entire home/apt","Brighton",0,0,3,1,165,42.343108,"-71.143466"
"27005",15098921,95049089,"Entire home/apt","Allston",1,0,4,2,148,42.350767,"-71.139226"
"27006",14670143,32532791,"Entire home/apt","Back Bay",2,0,3,1,199,42.347311,"-71.075053"
"27007",14575184,90319641,"Entire home/apt","Beacon Hill",30,4.5,2,1,200,42.359469,"-71.063621"
"27008",5212321,11725202,"Entire home/apt","Jamaica Plain",3,5,5,2,187,42.319676,"-71.104973"
"27009",8165898,30283594,"Entire home/apt","Fenway",5,5,5,2,189,42.343376,"-71.101278"
"27010",15974807,10250028,"Entire home/apt","Allston",55,5,10,4,188,42.358016,"-71.132177"
"27011",7575052,9653086,"Entire home/apt","South End",36,5,4,1,200,42.340551,"-71.075107"
"27012",6075481,13765922,"Entire home/apt","Back Bay",56,4.5,4,0,193,42.352815,"-71.081217"
"27013",1342370,1444340,"Entire home/apt","Roxbury",62,4.5,6,2,195,42.337784,"-71.079676"
"27014",19457729,12230539,"Entire home/apt","South End",0,0,4,1,200,42.342385,"-71.074541"
"27015",7499960,9529655,"Entire home/apt","Fenway",12,4.5,1,1,195,42.350624,"-71.09486"
"27016",12812461,38818333,"Entire home/apt","South End",42,5,2,1,200,42.336595,"-71.076031"
"27017",7728499,22348222,"Entire home/apt","Downtown",21,4.5,2,0,200,42.359525,"-71.06249"
"27018",18241963,6882666,"Entire home/apt","Back Bay",14,5,4,0,195,42.350647,"-71.084712"
"27019",3985462,9410008,"Entire home/apt","Fenway",160,5,3,1,185,42.350703,"-71.090698"
"27020",16543246,26311981,"Entire home/apt","Brighton",3,5,4,2,190,42.355111,"-71.150903"
